 420.365,
 398.439,
 387.556,
 385.708,
 381.196,
 386.283,
 382.436,
 383.529,
 379.485,
 397.043,
 378.189,
 392.064,
 403.720,
 405.230,
 404.229,
 407.212,
 408.389,
 408.156,
 406.736,
 399.069,
 402.649,
 409.210,
 409.535,
 402.998,
 646.795,
 847.974,
 628.584,
 395.451,
 385.156,
 390.512,
 402.067,
 410.737,
 411.545,
 410.026,
 413.641,
 410.213,
 759.801,
 852.023,
 604.939,
 406.220,
 406.370,
 410.915,
 411.677,
 418.030,
 498.634,
 849.235,
 876.833,
 413.809,
 426.208,
 421.290,
