 521.708,
 496.490,
 495.485,
 494.401,
 503.893,
 502.005,
 510.941,
 508.637,
 510.194,
 504.048,
 512.264,
 513.871,
 514.170,
 498.663,
 500.753,
 511.257,
 516.073,
 510.911,
 508.685,
 517.497,
 513.881,
 520.850,
 523.367,
 542.069,
 535.086,
 536.582,
 532.348,
 548.563,
 584.529,
 537.087,
 533.431,
 559.663,
 542.590,
 531.494,
 535.909,
 534.847,
 528.049,
 535.230,
 555.546,
 566.156,
 560.980,
 561.828,
 542.139,
 652.564,
 626.574,
 555.262,
 548.086,
 545.552,
 544.889,
 535.955
