555.191,
560.331,
565.744,
574.739,
567.070,
571.161,
569.135,
569.229,
561.478,
561.434,
570.136,
560.175,
571.119,
572.458,
574.806,
561.191,
572.079,
569.561,
580.750,
561.396,
564.458,
597.218,
575.134,
569.471,
566.678,
569.374,
581.805,
569.091,
576.998,
568.496,
579.256,
574.217,
581.599,
572.515,
582.816,
571.066,
584.999,
571.500,
579.004,
565.974,
577.890,
571.819,
569.922,
563.873,
574.867,
579.270,
580.743,
579.079,
576.014,
580.586
