666.787,
682.915,
676.445,
833.356,
671.540,
691.812,
691.616,
661.959,
661.787,
655.263,
671.334,
653.634,
669.182,
657.402,
684.479,
664.865,
670.053,
671.294,
663.569,
668.503,
652.644,
671.172,
691.270,
676.004,
691.249,
678.809,
691.055,
744.340,
751.998,
692.273,
704.966,
738.799,
784.620,
738.327,
713.955,
677.301,
692.661,
725.531,
751.874,
694.338,
687.498,
672.421,
674.609,
688.919,
678.361,
678.276,
671.759,
680.771,
671.900,
675.150
