228.083,
223.753,
219.479,
225.690,
225.963,
220.761,
246.469,
290.464,
254.495,
235.515,
218.207,
244.102,
224.010,
221.749,
234.357,
222.061,
240.617,
223.929,
233.271,
238.076,
261.963,
247.528,
242.061,
251.980,
245.468,
236.837,
268.089,
262.174,
265.270,
260.697,
254.793,
259.820,
251.971,
263.834,
273.657,
235.765,
218.169,
241.309,
257.527,
241.930,
267.578,
257.454,
258.149,
253.226,
256.657,
245.907,
255.061,
258.421,
253.174,
259.269
